<DF=START>
Address,1,2,3,4,5,6,7,8,9,10,
DF1,220.08224487,229.66711426,211.05627441,113.84378052,273.99887085,159.72726440,170.00000000,17.97907829,18.83357239,-2.91680193,
DF11,0.00000000,-0.01898003,-0.98101997,100.00000000,1.00000000,1.00000000,-1.89800262,-0.00084585,19.87792587,0.00000000,
DF21,-0.01813418,17.97907829,-0.00083107,-0.99916893,100.00000000,1.00000000,1.00000000,-0.08310676,0.00271171,18.91396713,
DF31,0.00000000,-0.00354278,18.83357239,0.02951944,-1.06076944,100.00000000,1.00000000,1.00000000,2.95194387,0.00000000,
DF41,-5.86874580,0.00000000,0.02951944,-2.91680193,-1.00000000,-1.03125000,3.00000000,13.00000000,0.00000000,220.08209229,
DF51,229.62110901,211.05645752,110.84375763,275.25003052,146.72734070,170.00000000,25.39999962,245.00000000,255.00000000,20.00000000,
DF61,-20.00000000,0.00000000,238.00000000,0.00000000,499.00000000,496.00000000,270.00000000,257.00000000,0.00000000,0.00000000,
DF71,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
DF81,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
DF91,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
DF101,0.02441800,0.02441800,223.02709961,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
DF111,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
DF121,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
DF131,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
DF141,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
DF151,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
DF161,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
